rubric_id,track,section,points,requirement,proof,deliverables,owner,test,validation_command,evidence_path,evidence_type,acceptance_id,source_file,source_row_index,source_digest,artifact_repo,artifact_path,behavioral_assertion
LLM-1-coordinator-agent-i-u-ph-i-2-agent-tr-n,LLM,"Deploy 1 Coordinator Agent",2,"Deploy 1 Coordinator Agent — Điều phối 2 Agent ở trên","Capture kết quả đã tương tác","Deploy 1 Agent sử dụng MCP tool ở trên với multi-replica và auto-scale sử dụng cái này",llm_engineer,"pytest tests/phase2 -k 'LLM-1-coordinator-agent-i-u-ph-i-2-agent-tr-n'","pytest tests/phase2/requirements/test_llm_ac_08_coordinator.py -k 'LLM-1-coordinator-agent-i-u-ph-i-2-agent-tr-n'",docs/phase2/evidence/llm/LLM-1-coordinator-agent-i-u-ph-i-2-agent-tr-n.md,executed,"LLM-AC-08-COORDINATOR",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,23,ed6d5473a869c0d246de0a317b772bdec6c98557274579deb81666b12368e15e,source,src/agents/coordinator.py,"python_ast_contains:coordinator"
LLM-1-coordinator-agent-publish-agent-n-y-l-n-registry,LLM,"Deploy 1 Coordinator Agent",2,"Publish Agent ở này lên registry đã deploy để đảm bảo governance","Demonstrate Agent có trên registry, được deploy với multi-replica, và màn hình UI chat với Agent","Publish Agent ở này lên registry đã deploy để đảm bảo governance",llm_engineer,"pytest tests/phase2 -k 'LLM-1-coordinator-agent-publish-agent-n-y-l-n-registry'","pytest tests/phase2/requirements/test_llm_ac_08_coordinator.py -k 'LLM-1-coordinator-agent-publish-agent-n-y-l-n-registry'",docs/phase2/evidence/llm/LLM-1-coordinator-agent-publish-agent-n-y-l-n-registry.md,executed,"LLM-AC-08-COORDINATOR",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,24,f487cd5d5c3e50ba0e901c5e091eb3fc33355a11d2b96a113b4d3b208c95e927,gitops,platform/agents/agentregistry.yaml,"text_contains:agentregistry"
LLM-1-global-model-config-c-c-1-global-model-config-c-c-agen,LLM,"Deploy 1 global model config để các Agent có thể dùng follow tutorial này, config này sẽ link tới inference platform ở trên thông qua cái agent gateway đề cập ở trên nốt",2,"Deploy 1 global model config để các Agent có thể dùng follow tutorial này, config này sẽ link tới inference platform ở trên thông qua cái agent gateway đề cập ở trên nốt","Capture chứng minh phần code config đã được apply","Capture chứng minh phần code config đã được apply",platform_operator,"pytest tests/phase2 -k 'LLM-1-global-model-config-c-c-1-global-model-config-c-c-agen'","pytest tests/phase2/requirements/test_llm_ac_02_model_config.py -k 'LLM-1-global-model-config-c-c-1-global-model-config-c-c-agen'",docs/phase2/evidence/llm/LLM-1-global-model-config-c-c-1-global-model-config-c-c-agen.md,executed,"LLM-AC-02-MODEL-CONFIG",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,5,7dfb724b6008725bcbaa2614daa1d8dd590a167f2dfad3768b2977f60cb2976c,gitops,platform/agents/global-model-config.yaml,"text_contains:global"
LLM-a-b-testing-perform-a-b-test-for-different,LLM,"A/B Testing",1,"Perform A/B test for different LLM versions on the LLM inference platform","Capture màn hình thể hiện cách mọi người thực hiện A/B test và dashboard để đánh giá kết quả A/B test","Perform A/B test for different LLM versions on the LLM inference platform",llm_engineer,"pytest tests/phase2 -k 'LLM-a-b-testing-perform-a-b-test-for-different'","pytest tests/phase2/requirements/test_llm_ac_16_ab.py -k 'LLM-a-b-testing-perform-a-b-test-for-different'",docs/phase2/evidence/llm/LLM-a-b-testing-perform-a-b-test-for-different.md,design_only,"LLM-AC-16-AB",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,56,c6fa7ea8e58ce069c9505ad107492f15d86b642ef731a2a60b9fb0da22bc01c9,gitops,platform/llm/ab-testing.yaml,"yaml_mapping_contains:testing"
LLM-a-b-testing-when-you-deploy-a-new-model,LLM,"A/B Testing",1,"A/B Testing — When you deploy a new model, don't replace the old one directly, you should do A/B test, monitor it, and deploy.","Capture màn hình thể hiện cách mọi người thực hiện A/B test và dashboard để đánh giá kết quả A/B test","Perform A/B test for agents with different model config and monitor them",llm_engineer,"pytest tests/phase2 -k 'LLM-a-b-testing-when-you-deploy-a-new-model'","pytest tests/phase2/requirements/test_llm_ac_16_ab.py -k 'LLM-a-b-testing-when-you-deploy-a-new-model'",docs/phase2/evidence/llm/LLM-a-b-testing-when-you-deploy-a-new-model.md,design_only,"LLM-AC-16-AB",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,55,75dbcd1e93c689f8528892302f534a21d69635378097a806e0da3fbe7b727241,gitops,platform/llm/ab-testing.yaml,"yaml_mapping_contains:testing"
LLM-a-llm-inference-platform--a-custom-model,LLM,"Deploy a LLM inference platform theo hướng dẫn này và set up gateway cho agent theo hướng dẫn này",2,"Setup a custom model","Document cách mọi người deploy, setup các custom model server để có thể triển khai riêng model của mọi người, cách thực hiện benchmark và optimize, cùng kết quả cải thiện sau optimize cho custom model","Setup a custom model",llm_engineer,"pytest tests/phase2 -k 'LLM-a-llm-inference-platform--a-custom-model'","pytest tests/phase2/requirements/test_llm_ac_01_inference.py -k 'LLM-a-llm-inference-platform--a-custom-model'",docs/phase2/evidence/llm/LLM-a-llm-inference-platform--a-custom-model.md,executed,"LLM-AC-01-INFERENCE",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,3,c2f4a186608c03df47daeb72c0815219a13a385446d6d0bdc0ec482248036420,source,src/llm/model_server.py,"python_ast_contains:server"
LLM-a-llm-inference-platform--benchmark-model-server-and-opt,LLM,"Deploy a LLM inference platform theo hướng dẫn này và set up gateway cho agent theo hướng dẫn này",2,"Benchmark model server and optimize the platform","Document cách mọi người deploy, setup các custom model server để có thể triển khai riêng model của mọi người, cách thực hiện benchmark và optimize, cùng kết quả cải thiện sau optimize cho custom model","Benchmark model server and optimize the platform",llm_engineer,"pytest tests/phase2 -k 'LLM-a-llm-inference-platform--benchmark-model-server-and-opt'","pytest tests/phase2/requirements/test_llm_ac_01_inference.py -k 'LLM-a-llm-inference-platform--benchmark-model-server-and-opt'",docs/phase2/evidence/llm/LLM-a-llm-inference-platform--benchmark-model-server-and-opt.md,executed,"LLM-AC-01-INFERENCE",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,4,1cb8d9dbf016d06e55423fc253ba15aa7566ab36116cbae367c16284c47cf5aa,source,src/llm/benchmark.py,"python_ast_contains:benchmark"
LLM-a-llm-inference-platform--llm-inference-platform-setup-c,LLM,"Deploy a LLM inference platform theo hướng dẫn này và set up gateway cho agent theo hướng dẫn này",2,"Deploy a LLM inference platform theo hướng dẫn này và set up gateway cho agent theo hướng dẫn này — Deploy LLM inference platform + setup custom model","Document cách mọi người deploy, setup các custom model server để có thể triển khai riêng model của mọi người, cách thực hiện benchmark và optimize, cùng kết quả cải thiện sau optimize cho custom model","Deploy LLM inference platform",llm_engineer,"pytest tests/phase2 -k 'LLM-a-llm-inference-platform--llm-inference-platform-setup-c'","pytest tests/phase2/requirements/test_llm_ac_01_inference.py -k 'LLM-a-llm-inference-platform--llm-inference-platform-setup-c'",docs/phase2/evidence/llm/LLM-a-llm-inference-platform--llm-inference-platform-setup-c.md,executed,"LLM-AC-01-INFERENCE",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,2,861197fa0d6721f0c5cd5727f687d2320e5b5e75229bbf5d5f9d2585b1d7a477,gitops,platform/inference/model-server.yaml,"text_contains:server"
LLM-c-i-t-h-th-ng-ch-warm-up--c-i-t-h-th-ng-ch-warm-up-cho-a,LLM,"Cài đặt hệ thống ở chế độ Warm Up cho agent theo hướng dẫn sau để tối ưu chi phí, đồng thời giảm thiểu thời gian startup",2,"Cài đặt hệ thống ở chế độ Warm Up cho agent theo hướng dẫn sau để tối ưu chi phí, đồng thời giảm thiểu thời gian startup","+ Benchmark và document đã tối ưu được gì; + Document cách tăng HA (ví dụ set up replicas cho worker pool)","+ Benchmark và document đã tối ưu được gì; + Document cách tăng HA (ví dụ set up replicas cho worker pool)",llm_engineer,"pytest tests/phase2 -k 'LLM-c-i-t-h-th-ng-ch-warm-up--c-i-t-h-th-ng-ch-warm-up-cho-a'","pytest tests/phase2/requirements/test_llm_ac_09_warmup.py -k 'LLM-c-i-t-h-th-ng-ch-warm-up--c-i-t-h-th-ng-ch-warm-up-cho-a'",docs/phase2/evidence/llm/LLM-c-i-t-h-th-ng-ch-warm-up--c-i-t-h-th-ng-ch-warm-up-cho-a.md,executed,"LLM-AC-09-WARMUP",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,25,f0b8b5c18d8891a387da8f430d5bdb81c6480431554cf462e5f5c23bf6be8bc8,gitops,platform/agents/warm-pool.yaml,"yaml_mapping_contains:evidenceWindow"
LLM-ci-cd-agent-drift-detection,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"Agent drift detection","Capture màn hình từng CI/CD pipeline đã run thành công","Agent drift detection",llm_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-agent-drift-detection'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-agent-drift-detection'",docs/phase2/evidence/llm/LLM-ci-cd-agent-drift-detection.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,36,3031536f3cccb923676f8c6a0a127b50fbcef8539d88f69fd40f2e70d4a37b80,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.test"
