image,subsystem,rubric_area,capture_command_or_source,captured_at,proves
generator_profile_summary.png,lakehouse,data_generator,reuse-copy from docs/evidence/screenshots/generator-profile.png,2026-08-10,generator-evidence-v1 profile summary backing the measured skew/cardinality/duplicate/burst table
validation_coverage_html_report.jpg,validation_verification,validation_verification,reuse-copy from docs/phase2/evidence/llm/validation-verification/screenshots/coverage-html-report.jpg,2026-08-10,coverage.py HTML report backing the 96.17%/93.48% line/branch coverage gate
validation_locust_sla_report.jpg,validation_verification,validation_verification,reuse-copy from docs/phase2/evidence/llm/validation-verification/screenshots/locust-sla-report.jpg,2026-08-10,Locust SLA report backing the 1352-request zero-failure load test through the public gateway
kagent_agents_ready.png,agent_plane,agent_registry,live capture: kagent-ui via kubectl -n kagent port-forward svc/kagent-ui,2026-08-14,10 kagent agents deployed and listed in the registry UI
kagent_agent_spec_detail.png,agent_plane,agent_registry,live capture: kagent-ui agent detail panel for kagent/argo-rollouts-conversion-agent,2026-08-14,agent spec detail shows model (qwen2.5-0.5b-instruct) and bound tools list
kagent_agent_run_token_limit_error.png,agent_plane,agent_warm_up,live capture: kagent-ui chat round-trip with argo-rollouts-conversion-agent,2026-08-14,a real round-trip request reached the model backend and returned a genuine error (context window exceeded); documents an actual operating limit, not invented
kagent_agent_run_success.png,agent_plane,coordinator_agent,live capture: kagent-ui chat round-trip with kagent/promql-agent,2026-08-14,a successful agent round-trip with visible token usage (1767 total: 1753 in / 14 out)
prometheus_targets_up.png,observability,observability,live capture: kubectl -n monitoring port-forward svc/monitoring-kube-prometheus-prometheus then /targets,2026-08-14,9/9 scrape targets UP for serviceMonitor/agents-sandbox/phase2-agents/0 (drift-agent, feature-agent, coordinator)
prometheus_llm_tokens_query.png,observability,observability,live capture: Prometheus query phase2:llm_request_total_tokens_total:sum,2026-08-14,real per-agent cumulative LLM token counters (drift-agent 8309, feature-agent 1881)
jaeger_search_services.png,observability,observability,live capture: kubectl -n monitoring port-forward svc/jaeger then /jaeger/search,2026-08-14,6 discoverable traced services (coordinator-agent, drift-agent, drift-mcp, feature-agent, feature-mcp, jaeger)
jaeger_coordinator_trace_roundtrip.png,agent_plane,coordinator_agent,live capture: Jaeger trace a0ed09105a08cdb4bd7199a8ec7080d1 for coordinator-agent,2026-08-14,one full coordinator round-trip spanning 5 spans across coordinator-agent -> feature-agent -> feature-mcp and coordinator-agent -> drift-agent -> drift-mcp in 170ms
airflow_dp1_bronze_ingest_dag.png,lakehouse,data_pipeline_orchestration,reuse-copy from docs/evidence/screenshots/airflow-ingest_source_to_bronze.png,2026-08-10,Airflow DAG graph for the DP1 bronze ingest pipeline
airflow_dp2_silver_gold_dag.png,lakehouse,data_pipeline_orchestration,reuse-copy from docs/evidence/screenshots/airflow-dp2.png,2026-08-10,Airflow DAG graph for the DP2 silver/gold build pipeline
airflow_dp3_offline_features_dag.png,lakehouse,data_pipeline_orchestration,reuse-copy from docs/evidence/screenshots/airflow-dp3.png,2026-08-10,Airflow DAG graph for the DP3 offline feature build pipeline
airflow_dp2_dp3_successful_run.png,lakehouse,data_pipeline_orchestration,reuse-copy from docs/evidence/reviewer_screenshots/airflow_dp2_dp3_evidence.png,2026-08-10,a successful task-tree run for the DP2/DP3 DAGs
flink_job_overview.png,lakehouse,processing_jobs,reuse-copy from docs/evidence/screenshots/flink-ui-overview.png,2026-08-10,Flink job overview UI showing the running streaming job
flink_checkpoints_baseline.png,lakehouse,processing_jobs,reuse-copy from docs/evidence/screenshots/flink-baseline.png,2026-08-10,Flink checkpoint state before optimization
flink_checkpoints_optimized.png,lakehouse,processing_jobs,reuse-copy from docs/evidence/screenshots/flink-optimized.png,2026-08-10,Flink checkpoint state after optimization, for the baseline-vs-optimized table
spark_stage_timings_baseline.png,lakehouse,processing_jobs,reuse-copy from docs/evidence/screenshots/spark-ui-baseline.png,2026-08-10,Spark UI stage timings before storage optimization
spark_stage_timings_optimized.png,lakehouse,processing_jobs,reuse-copy from docs/evidence/screenshots/spark-ui-optimized.png,2026-08-10,Spark UI stage timings after storage optimization, for the baseline-vs-optimized table
product_web_login_success.png,product_plane,web_api_user_data,reuse-copy from docs/phase2/evidence/product/root--success--analyst--desktop-1440.png,2026-08-14,product web app root/login surface rendering successfully for the analyst role at desktop viewport
product_analyst_companies_surface.png,product_plane,web_api_user_data,reuse-copy from docs/phase2/evidence/product/companies--success--analyst--desktop-1440.png,2026-08-14,analyst-role companies list surface rendering successfully
product_agent_registry_ui.png,product_plane,agent_registry,reuse-copy from docs/phase2/evidence/product/agents-registry--degraded--platform_operator--operator-1440.png,2026-08-14,agent registry UI in the product web app, degraded-state view for platform_operator role
